Year	Year (ISO)	Bituminous (tonnes)	Sub-Bituminous (tonnes)	Lignite (tonnes)	Total Production (tonnes)	Under Ground (tonnes)	Open Cast (tonnes)	Total (tonnes)	Index	Column8	Column9
pre-1878					721323	721323		721323			
1878	1878-01-01T00:00:00Z				164821	164821		164821			
1879	1879-01-01T00:00:00Z				234928	229538	5390	234928			
1880	1880-01-01T00:00:00Z				304736	295759	8977	304736			
1881	1881-01-01T00:00:00Z				342674	331490	11184	342674			
1882	1882-01-01T00:00:00Z				384342	365807	18535	384342			
1883	1883-01-01T00:00:00Z				428532	393667	34865	428532			
1884	1884-01-01T00:00:00Z	215384	256807	16356	488547	461824	26723	488547			
1885	1885-01-01T00:00:00Z	261931	241023	16311	519265	519264		519264			
1886	1886-01-01T00:00:00Z	289936	241295	11697	542928	531596	11332	542928			
1887	1887-01-01T00:00:00Z	322364	226742	18478	567584	547104	20480	567584			
1888	1888-01-01T00:00:00Z	365325	241255	16658	623238	607025	16214	623239			
1889	1889-01-01T00:00:00Z	340895	235169	19792	595856	575156	20700	595856			
1890	1890-01-01T00:00:00Z	328907	301073	17646	647626	626590	21035	647625			
1891	1891-01-01T00:00:00Z	394062	263037	22426	679525	650246	29280	679526			
1892	1892-01-01T00:00:00Z	413356	242844	27919	684119	654533	29586	684119			
1893	1893-01-01T00:00:00Z	387013	291834	23798	702645	675166	27479	702645			
1894	1894-01-01T00:00:00Z	425306	277588	28198	731092	705272	25821	731093			
1895	1895-01-01T00:00:00Z	436921	290026	25818	752765	722584	30181	752765			
1896	1896-01-01T00:00:00Z	481237	294949	29387	805573	773351	32223	805574			
1897	1897-01-01T00:00:00Z	512964	321311	33489	867764	828832	38932	867764			
1898	1898-01-01T00:00:00Z	547118	340169	34301	921588	887291	34297	921588			
1899	1899-01-01T00:00:00Z	597472	358032	35380	990884	956674	34209	990883			
1900	1900-01-01T00:00:00Z	684675	383649	43221	1111545	1072466	39079	1111545			
1901	1901-01-01T00:00:00Z	776473	431396	51691	1259560	1216290	43270	1259560			
1902	1902-01-01T00:00:00Z	859906	460677	66297	1386880	1338301	48579	1386880			
1903	1903-01-01T00:00:00Z	894046	470359	78614	1443019	1391353	51666	1443019			
1904	1904-01-01T00:00:00Z	953578	516522	92416	1562516	1506047	56469	1562516			
1905	1905-01-01T00:00:00Z	980570	528353	102585	1611508	1547169	64339	1611508			
1906	1906-01-01T00:00:00Z	1094697	554725	107868	1757290	1690859	66431	1757290			
1907	1907-01-01T00:00:00Z	1203214	546488	110689	1860391	1824312	36079	1860391			
1908	1908-01-01T00:00:00Z	1224552	565532	100754	1890838	1857732	33106	1890838			
1909	1909-01-01T00:00:00Z	1277408	574048	90461	1941917	1915485	26431	1941916			
1910	1910-01-01T00:00:00Z	1519711	610708	102204	2232623	2201226	31397	2232623			
1911	1911-01-01T00:00:00Z	1380155	615221	103852	2099228	2064844	34383	2099227			
