Region	Year	Year (ISO)	Opencast	Undergound	Total
Waikato	2009.0	2009-01-01T00:00:00Z	1380654.0	365918.0	1746572.0
North Island	2009.0	2009-01-01T00:00:00Z	1380654.0	365918.0	1746572.0
West Coast	2009.0	2009-01-01T00:00:00Z	1766407.0	470124.0	2236531.0
Canterbury	2009.0	2009-01-01T00:00:00Z	28976.0	0.0	28976.0
Otago	2009.0	2009-01-01T00:00:00Z	71193.0	0.0	71193.0
Southland	2009.0	2009-01-01T00:00:00Z	480061.0	0.0	480061.0
South Island	2009.0	2009-01-01T00:00:00Z	2346637.0	470124.0	2816761.0
New Zealand	2009.0	2009-01-01T00:00:00Z	3727291.0	836042.0	4563333.0
Waikato	2008.0	2008-01-01T00:00:00Z	1518169.0	251217.0	1769386.0
North Island	2008.0	2008-01-01T00:00:00Z	1518169.0	251217.0	1769386.0
West Coast	2008.0	2008-01-01T00:00:00Z	2017445.0	594061.0	2611506.0
Canterbury	2008.0	2008-01-01T00:00:00Z	18797.0	0.0	18797.0
Otago	2008.0	2008-01-01T00:00:00Z	62700.0	0.0	62700.0
Southland	2008.0	2008-01-01T00:00:00Z	447032.0	0.0	447032.0
South Island	2008.0	2008-01-01T00:00:00Z	2545974.0	594061.0	3140035.0
New Zealand	2008.0	2008-01-01T00:00:00Z	4064143.0	845278.0	4909421.0
Waikato	2007.0	2007-01-01T00:00:00Z	1811488.0	390322.0	2201810.0
North Island	2007.0	2007-01-01T00:00:00Z	1811488.0	390322.0	2201810.0
West Coast	2007.0	2007-01-01T00:00:00Z	1924097.0	229551.0	2153648.0
Canterbury	2007.0	2007-01-01T00:00:00Z	58950.0	0.0	58950.0
Otago	2007.0	2007-01-01T00:00:00Z	10496.0	0.0	10496.0
Southland	2007.0	2007-01-01T00:00:00Z	410504.0	0.0	410504.0
South Island	2007.0	2007-01-01T00:00:00Z	2404047.0	229551.0	2633598.0
New Zealand	2007.0	2007-01-01T00:00:00Z	4215535.0	619873.0	4835408.0
Waikato	2006.0	2006-01-01T00:00:00Z	1849290.0	440519.0	2289809.0
North Island	2006.0	2006-01-01T00:00:00Z	1849290.0	440519.0	2289809.0
West Coast	2006.0	2006-01-01T00:00:00Z	2338268.0	661112.0	2999380.0
Canterbury	2006.0	2006-01-01T00:00:00Z	4017.0	0.0	4017.0
Otago	2006.0	2006-01-01T00:00:00Z	57237.0	0.0	57237.0
Southland	2006.0	2006-01-01T00:00:00Z	417468.0	0.0	417468.0
South Island	2006.0	2006-01-01T00:00:00Z	2816990.0	661112.0	3478102.0
New Zealand	2006.0	2006-01-01T00:00:00Z	4666280.0	1101631.0	5767911.0
Waikato	2005.0	2005-01-01T00:00:00Z	1758831.25	361078.0	2119909.25
North Island	2005.0	2005-01-01T00:00:00Z	1758831.25	361078.0	2119909.25
West Coast	2005.0	2005-01-01T00:00:00Z	2267126.13	388472.0	2655598.13
Canterbury	2005.0	2005-01-01T00:00:00Z	3929.0	0.0	3929.0
Otago	2005.0	2005-01-01T00:00:00Z	56185.56	0.0	56185.56
Southland	2005.0	2005-01-01T00:00:00Z	426654.988	4885.0	431539.988
South Island	2005.0	2005-01-01T00:00:00Z	2753895.678	393357.0	3147252.678
New Zealand	2005.0	2005-01-01T00:00:00Z	4512726.927999999	754435.0	5267161.927999999
Waikato	2004.0	2004-01-01T00:00:00Z	1611738.77	441968.0	2053706.77
North Island	2004.0	2004-01-01T00:00:00Z	1611738.77	441968.0	2053706.77
West Coast	2004.0	2004-01-01T00:00:00Z	2359212.22	267575.74	2626787.96
Canterbury	2004.0	2004-01-01T00:00:00Z	3721.5	0.0	3721.5
Otago	2004.0	2004-01-01T00:00:00Z	58904.303	0.0	58904.303
Southland	2004.0	2004-01-01T00:00:00Z	394987.522	17286.0	412273.522
South Island	2004.0	2004-01-01T00:00:00Z	2816825.545	284861.74	3101687.2849999997
New Zealand	2004.0	2004-01-01T00:00:00Z	4428564.3149999995	726829.74	5155394.055
Waikato	2003.0	2003-01-01T00:00:00Z	1825204.0	474966.0	2300170.0
North Island	2003.0	2003-01-01T00:00:00Z	1825204.0	474966.0	2300170.0
West Coast	2003.0	2003-01-01T00:00:00Z	2188142.0	264665.0	2452807.0
Canterbury	2003.0	2003-01-01T00:00:00Z	984.0	0.0	984.0
Otago	2003.0	2003-01-01T00:00:00Z	48454.0	0.0	48454.0
Southland	2003.0	2003-01-01T00:00:00Z	304302.0	73195.0	377497.0
South Island	2003.0	2003-01-01T00:00:00Z	2541882.0	337860.0	2879742.0
New Zealand	2003.0	2003-01-01T00:00:00Z	4367086.0	812826.0	5179912.0
Waikato	2002.0	2002-01-01T00:00:00Z	1282835.0	392991.0	1675826.0
North Island	2002.0	2002-01-01T00:00:00Z	1282835.0	392991.0	1675826.0
West Coast	2002.0	2002-01-01T00:00:00Z	2003503.0	380442.0	2383945.0
Canterbury	2002.0	2002-01-01T00:00:00Z	155.0	0.0	155.0
Otago	2002.0	2002-01-01T00:00:00Z	49210.0	0.0	49210.0
Southland	2002.0	2002-01-01T00:00:00Z	218255.0	131548.0	349803.0
South Island	2002.0	2002-01-01T00:00:00Z	2271123.0	511990.0	2783113.0
