Region	Year	Year (ISO)	Bituminous	Sub Bituminous	Lignite	Total
Waikato	2009	2009-01-01T00:00:00Z	0	1746572	0	1746572
North Island	2009	2009-01-01T00:00:00Z	0	1746572	0	1746572
West Coast	2009	2009-01-01T00:00:00Z	2085486	151045	0	2236531
Canterbury	2009	2009-01-01T00:00:00Z	0	28976	0	28976
Otago	2009	2009-01-01T00:00:00Z	0	68889	2304	71193
Southland	2009	2009-01-01T00:00:00Z	0	222661	257400	480061
South Island	2009	2009-01-01T00:00:00Z	2085486	471571	259704	2816761
New Zealand	2009	2009-01-01T00:00:00Z	2085486	2218143	259704	4563333
Waikato	2008	2008-01-01T00:00:00Z	0	1769386	0	1769386
North Island	2008	2008-01-01T00:00:00Z	0	1769386	0	1769386
West Coast	2008	2008-01-01T00:00:00Z	2476848	134658	0	2611506
Canterbury	2008	2008-01-01T00:00:00Z	0	18797	0	18797
Otago	2008	2008-01-01T00:00:00Z	0	61349	1351	62700
Southland	2008	2008-01-01T00:00:00Z	0	194891	252141	447032
South Island	2008	2008-01-01T00:00:00Z	2476848	409695	253492	3140035
New Zealand	2008	2008-01-01T00:00:00Z	2476848	2179081	253492	4909421
Waikato	2007	2007-01-01T00:00:00Z	0	2201810	0	2201810
North Island	2007	2007-01-01T00:00:00Z	0	2201810	0	2201810
West Coast	2007	2007-01-01T00:00:00Z	2019430	134218	0	2153648
Canterbury	2007	2007-01-01T00:00:00Z	0	10496	0	10496
Otago	2007	2007-01-01T00:00:00Z	0	55722	3228	58950
Southland	2007	2007-01-01T00:00:00Z	0	153584	256920	410504
South Island	2007	2007-01-01T00:00:00Z	2019430	354020	260148	2633598
New Zealand	2007	2007-01-01T00:00:00Z	2019430	2555830	260148	4835408
Waikato	2006	2006-01-01T00:00:00Z	0	2289809	0	2289809
North Island	2006	2006-01-01T00:00:00Z	0		0	
West Coast	2006	2006-01-01T00:00:00Z	2863029	136351	0	2999380
Canterbury	2006	2006-01-01T00:00:00Z	0	4017	0	4017
Otago	2006	2006-01-01T00:00:00Z	0	53904	3333	57237
Southland	2006	2006-01-01T00:00:00Z	0	169435	248033	417468
South Island	2006	2006-01-01T00:00:00Z	2863029	363707	251366	3478102
New Zealand	2006	2006-01-01T00:00:00Z	2863029	2653516	251366	5767911
Waikato	2005	2005-01-01T00:00:00Z	0	2119909.25	0	2119909.25
North Island	2005	2005-01-01T00:00:00Z	0	2119909.25	0	2119909.25
West Coast	2005	2005-01-01T00:00:00Z	2543404.38	112193.75	0	2655598.13
Canterbury	2005	2005-01-01T00:00:00Z	0	3929	0	3929
Otago	2005	2005-01-01T00:00:00Z	0	54602	1583.56	56185.56
Southland	2005	2005-01-01T00:00:00Z	0	186678.23	244861.758	431539.988
South Island	2005	2005-01-01T00:00:00Z	2543404.38	357402.98	246445.318	3147252.678
New Zealand	2005	2005-01-01T00:00:00Z	2543404.38	2477312.23	246445.318	5267161.927999999
Waikato	2004	2004-01-01T00:00:00Z	0	2053706.77	0	2053706.77
North Island	2004	2004-01-01T00:00:00Z	0	2053706.77	0	2053706.77
West Coast	2004	2004-01-01T00:00:00Z	2526612.82	100175.14	0	2626787.96
Canterbury	2004	2004-01-01T00:00:00Z	0	3721.5	0	3721.5
Otago	2004	2004-01-01T00:00:00Z	0	57051	1853.303	58904.303
Southland	2004	2004-01-01T00:00:00Z	0	174698	237575.522	412273.522
South Island	2004	2004-01-01T00:00:00Z	2526612.82	335645.64	239428.825	3101687.2849999997
New Zealand	2004	2004-01-01T00:00:00Z	2526612.82	2389352.41	239428.825	5155394.055000001
Waikato	2003	2003-01-01T00:00:00Z	0	2300170	0	2300170
North Island	2003	2003-01-01T00:00:00Z	0	2300170	0	2300170
West Coast	2003	2003-01-01T00:00:00Z	2351021	101786	0	2452807
Canterbury	2003	2003-01-01T00:00:00Z	0	984	0	984
Otago	2003	2003-01-01T00:00:00Z	0	45666	2788	48454
Southland	2003	2003-01-01T00:00:00Z	0	127949	249548	377497
South Island	2003	2003-01-01T00:00:00Z	2351021	276385	252336	2879742
New Zealand	2003	2003-01-01T00:00:00Z	2351021	2576555	252336	5179912
Waikato	2002	2002-01-01T00:00:00Z	0	1675826	0	1675826
North Island	2002	2002-01-01T00:00:00Z	0	1675826	0	1675826
West Coast	2002	2002-01-01T00:00:00Z	2268906	115039	0	2383945
Canterbury	2002	2002-01-01T00:00:00Z	0	155	0	155
Otago	2002	2002-01-01T00:00:00Z	0	47040	2170	49210
Southland	2002	2002-01-01T00:00:00Z	0	133734	216069	349803
South Island	2002	2002-01-01T00:00:00Z	2268906	295968	218239	2783113
New Zealand	2002	2002-01-01T00:00:00Z	2268906	1971794	218239	4458939
Waikato	2001	2001-01-01T00:00:00Z	0	1523805	0	1523805
North Island	2001	2001-01-01T00:00:00Z	0	1523805	0	1523805
West Coast	2001	2001-01-01T00:00:00Z	1896771	89838	0	1986609
Canterbury	2001	2001-01-01T00:00:00Z	0	289	0	289
Otago	2001	2001-01-01T00:00:00Z	0	45011	1713	46724
Southland	2001	2001-01-01T00:00:00Z	0	152738	201231	353969
South Island	2001	2001-01-01T00:00:00Z	1896771	287876	202944	2387591
New Zealand	2001	2001-01-01T00:00:00Z	1896771	1811681	202944	3911396
Waikato	2000	2000-01-01T00:00:00Z	0	1306781	0	1306781
North Island	2000	2000-01-01T00:00:00Z	0	1306781	0	1306781
West Coast	2000	2000-01-01T00:00:00Z	1792784	82387	0	1875171
Canterbury	2000	2000-01-01T00:00:00Z	0	669	0	669
Otago	2000	2000-01-01T00:00:00Z	0	44702	1773	46475
Southland	2000	2000-01-01T00:00:00Z	0	210843	145696	356539
South Island	2000	2000-01-01T00:00:00Z	1792784	338601	147469	2278854
New Zealand	2000	2000-01-01T00:00:00Z	1792784	1645382	147469	3585635
Waikato	1999	1999-01-01T00:00:00Z	0	1429254	0	1429254
North Island	1999	1999-01-01T00:00:00Z	0	1429254	0	1429254
West Coast	1999	1999-01-01T00:00:00Z	1620866	64009	0	1684875
